Unnamed: 0,book_title,review_content,rating,label,clean_review,tokens,tokens_str
9000,한 권으로 끝내는 뉴욕취업,구매할 필요없다. 돈낭비 시간낭비다. 저자도 모임에서 만났지만 정말 무례하기 짝이없다.,1,0,구매할 필요없다  돈낭비 시간낭비다  저자도 모임에서 만났지만 정말 무례하기 짝이없다 ,"['구매', '할', '필요없다', '돈', '낭비', '시간', '낭비', '다', '저자도', '모임', '에서', '만났지만', '정말', '무례하기', '짝', '이', '없다']",구매 할 필요없다 돈 낭비 시간 낭비 다 저자도 모임 에서 만났지만 정말 무례하기 짝 이 없다
9001,영어로 보는 광수생각,"영어 공부하는 사람입니다. 물론 요새 많은 분들이 영어를 공부하고 계시겠지만.... 전 광수생각..그러니까 한글판은 샀어요. 근데 영어판은 어떤가 한번 읽어봤는데 영~ 아니다 싶더라구요, 만화를 통해서 영어를 배운다는 접근은 좋았지만 명사와 동사 위주로 한글과 섞어놓은것이 아무래도 맘에 안들더군요. 영어는 단어가 아니고 한 덩어리씩 봐야 되는 거거든요. 그 옆에 실린 완전 영어본도 별로 맘에 들진 않더라구요, 그다지 casual한 영어라는 생각도 들지 않구...쩝 오히려 영어공부를 위해 이런 책을 찾고 계신 분이라면 개인적으로 스누...+ 더보기",2,0,영어 공부하는 사람입니다  물론 요새 많은 분들이 영어를 공부하고 계시겠지만  전 광수생각 그러니까 한글판은 샀어요  근데 영어판은 어떤가 한번 읽어봤는데 영  아니다 싶더라구요  만화를 통해서 영어를 배운다는 접근은 좋았지만 명사와 동사 위주로 한글과 섞어놓은것이 아무래도 맘에 안들더군요  영어는 단어가 아니고 한 덩어리씩 봐야 되는 거거든요  그 옆에 실린 완전 영어본도 별로 맘에 들진 않더라구요  그다지  한 영어라는 생각도 들지 않구 쩝 오히려 영어공부를 위해 이런 책을 찾고 계신 분이라면 개인적으로 스누  더보기,"['영어', '공부', '하는', '사람', '입니다', '물론', '요새', '많은', '분', '들', '이', '영어', '를', '공부', '하고', '계시겠지만', '전', '광수', '생각', '그러니까', '한글', '판', '은', '샀어요', '근데', '영어', '판', '은', '어떤가', '한번', '읽어', '봤는데', '영', '아니다', '싶더라구요', '만화', '를', '통해', '서', '영어', '를', '배운다는', '접근', '은', '좋았지만', '명사', '와', '동사', '위주', '로', '한글', '과', '섞어놓은', '것', '이', '아무래도', '맘', '에', '안', '들더군요', '영어', '는', '단어', '가', '아니고', '한', '덩어리', '씩', '봐야', '되는', '거', '거든요', '그', '옆', '에', '실린', '완전', '영어', '본도', '별로', '맘', '에', '들진', '않더라구요', '그다지', '한', '영어', '라는', '생각', '도', '들지', '않구', '쩝', '오히려', '영어', '공부', '를', '위해', '이런', '책', '을', '찾고', '계신', '분이라면', '개인', '적', '으로', '스누', '더', '보기']",영어 공부 하는 사람 입니다 물론 요새 많은 분 들 이 영어 를 공부 하고 계시겠지만 전 광수 생각 그러니까 한글 판 은 샀어요 근데 영어 판 은 어떤가 한번 읽어 봤는데 영 아니다 싶더라구요 만화 를 통해 서 영어 를 배운다는 접근 은 좋았지만 명사 와 동사 위주 로 한글 과 섞어놓은 것 이 아무래도 맘 에 안 들더군요 영어 는 단어 가 아니고 한 덩어리 씩 봐야 되는 거 거든요 그 옆 에 실린 완전 영어 본도 별로 맘 에 들진 않더라구요 그다지 한 영어 라는 생각 도 들지 않구 쩝 오히려 영어 공부 를 위해 이런 책 을 찾고 계신 분이라면 개인 적 으로 스누 더 보기
9002,영단기 토익 RC,개인적으로 토익 강사중에 정재현 강사님을 가장 좋아하는데 모질게에서 내신 정재현RC만 하더라도 충분히 좋은 교재인데 영단기에서 또 다시 같은 내용으로 책을 내신 부분은 좀 실망스럽습니다. ㅜㅜ 모질게 RC 산 사람은 이제 구판을 갖고있는듯한 느낌이 드네요,1,0,개인적으로 토익 강사중에 정재현 강사님을 가장 좋아하는데 모질게에서 내신 정재현 만 하더라도 충분히 좋은 교재인데 영단기에서 또 다시 같은 내용으로 책을 내신 부분은 좀 실망스럽습니다    모질게   산 사람은 이제 구판을 갖고있는듯한 느낌이 드네요,"['개인', '적', '으로', '토익', '강사', '중', '에', '정', '재현', '강사', '님', '을', '가장', '좋아하는데', '모질', '게', '에서', '내신', '정', '재현', '만', '하더라도', '충분히', '좋은', '교재', '인데', '영', '단기', '에서', '또', '다시', '같은', '내용', '으로', '책', '을', '내신', '부분', '은', '좀', '실망', '스럽습니다', '모질게', '산', '사람', '은', '이제', '구판', '을', '갖고있는듯', '한', '느낌', '이', '드네', '요']",개인 적 으로 토익 강사 중 에 정 재현 강사 님 을 가장 좋아하는데 모질 게 에서 내신 정 재현 만 하더라도 충분히 좋은 교재 인데 영 단기 에서 또 다시 같은 내용 으로 책 을 내신 부분 은 좀 실망 스럽습니다 모질게 산 사람 은 이제 구판 을 갖고있는듯 한 느낌 이 드네 요
9003,지문사냥꾼,"이야기를 만드는 능력에 대해서는 일단 넘어가자.소설가가 아니더라도 누구나 자신만의 이야기를 가지고 있으니,책 하나쯤 낼 수는 있다.그러나, 책을 낼만한 기본수양이 되어있지 않은'작가'는 분명 문제가 있다.문장은 대부분 번역체이며, 서투르다.분명 '가수'라는 직함을 등에 업고 책을 낸 것일텐데그래도그렇지책 한권을 내려면 기본적인 수양은 해야하지 않을까?연예인이 심심풀이로 써내려간 글이 아니라고 광고는 하지만,연예인이 공을 들인 책으로 읽히지도 않는다.일러스트가 아까울 뿐이다.",1,0,이야기를 만드는 능력에 대해서는 일단 넘어가자 소설가가 아니더라도 누구나 자신만의 이야기를 가지고 있으니 책 하나쯤 낼 수는 있다 그러나  책을 낼만한 기본수양이 되어있지 않은 작가 는 분명 문제가 있다 문장은 대부분 번역체이며  서투르다 분명  가수 라는 직함을 등에 업고 책을 낸 것일텐데그래도그렇지책 한권을 내려면 기본적인 수양은 해야하지 않을까 연예인이 심심풀이로 써내려간 글이 아니라고 광고는 하지만 연예인이 공을 들인 책으로 읽히지도 않는다 일러스트가 아까울 뿐이다 ,"['이야기', '를', '만드는', '능력', '에', '대해', '서는', '일단', '넘어가자', '소설가', '가', '아니더라도', '누구', '나', '자신', '만의', '이야기', '를', '가지', '고', '있으니', '책', '하나', '쯤', '낼', '수', '는', '있다', '그러나', '책', '을', '낼', '만', '한', '기', '본', '수양', '이', '되어있지', '않은', '작가', '는', '분명', '문제', '가', '있다', '문장', '은', '대부분', '번역', '체', '이며', '서투르다', '분명', '가수', '라는', '직함', '을', '등', '에', '업고', '책', '을', '낸', '것', '일텐데', '그래도', '그렇지', '책', '한', '권', '을', '내', '려면', '기본', '적', '인', '수양', '은', '해야하지', '않을까', '연예인', '이', '심심', '풀이', '로', '써', '내려간', '글', '이', '아니라고', '광고', '는', '하지만', '연예인', '이', '공', '을', '들인', '책', '으로', '읽히지도', '않는다', '일러스트', '가', '아까울', '뿐', '이다']",이야기 를 만드는 능력 에 대해 서는 일단 넘어가자 소설가 가 아니더라도 누구 나 자신 만의 이야기 를 가지 고 있으니 책 하나 쯤 낼 수 는 있다 그러나 책 을 낼 만 한 기 본 수양 이 되어있지 않은 작가 는 분명 문제 가 있다 문장 은 대부분 번역 체 이며 서투르다 분명 가수 라는 직함 을 등 에 업고 책 을 낸 것 일텐데 그래도 그렇지 책 한 권 을 내 려면 기본 적 인 수양 은 해야하지 않을까 연예인 이 심심 풀이 로 써 내려간 글 이 아니라고 광고 는 하지만 연예인 이 공 을 들인 책 으로 읽히지도 않는다 일러스트 가 아까울 뿐 이다
9004,416 세월호 민변의 기록,세월호 사고에 안타깝고 유가족에 안타깝다.,1,0,세월호 사고에 안타깝고 유가족에 안타깝다 ,"['세월호', '사고', '에', '안타깝고', '유가족', '에', '안타깝다']",세월호 사고 에 안타깝고 유가족 에 안타깝다
9005,운명을 바꾸는 10년 통장,이 책은 뒷부분 부록편 여덟장 정도 보면 됨. 이야기형식으로 내용만 부풀린 책. 부채나 이자없이 월급 400만원 이상되야 실현 가능한 책. 그렇다고 재테크 내용이 충실한 것도 아님. 도대체 왜 낸거야?,1,0,이 책은 뒷부분 부록편 여덟장 정도 보면 됨  이야기형식으로 내용만 부풀린 책  부채나 이자없이 월급  만원 이상되야 실현 가능한 책  그렇다고 재테크 내용이 충실한 것도 아님  도대체 왜 낸거야 ,"['이', '책', '은', '뒷', '부분', '부록', '편', '여덟', '장', '정도', '보면', '됨', '이야기', '형식', '으로', '내용', '만', '부풀린', '책', '부채', '나', '이자', '없이', '월급', '만원', '이상', '되야', '실현', '가능한', '책', '그렇다고', '재테크', '내용', '이', '충실한', '것', '도', '아님', '도대체', '왜', '낸거야']",이 책 은 뒷 부분 부록 편 여덟 장 정도 보면 됨 이야기 형식 으로 내용 만 부풀린 책 부채 나 이자 없이 월급 만원 이상 되야 실현 가능한 책 그렇다고 재테크 내용 이 충실한 것 도 아님 도대체 왜 낸거야
9006,상실의 시대,소문난 잔치에 먹을 것 없었다. 남는건 주인공의 여성편력..정도이다.,1,0,소문난 잔치에 먹을 것 없었다  남는건 주인공의 여성편력 정도이다 ,"['소문난', '잔치', '에', '먹을', '것', '없었다', '남는건', '주인공', '의', '여', '성', '편', '력', '정도', '이다']",소문난 잔치 에 먹을 것 없었다 남는건 주인공 의 여 성 편 력 정도 이다
9007,더 해빙 (40만부 기념 리커버 에디션),반 읽고 중고로 팔기위해 알라딘 서점에 가져갔으나재고가 많아 매입하지 않는다하여 그냥 폐기 요청 드렸으며그 폐기가 1도 아깝지 않았다.독서모임만 아니었다면 펴보지도 않았을 책.요약만 봐도 충분.,1,0,반 읽고 중고로 팔기위해 알라딘 서점에 가져갔으나재고가 많아 매입하지 않는다하여 그냥 폐기 요청 드렸으며그 폐기가  도 아깝지 않았다 독서모임만 아니었다면 펴보지도 않았을 책 요약만 봐도 충분 ,"['반', '읽고', '중고', '로', '팔', '기', '위해', '알라딘', '서점', '에', '가져갔으나', '재고', '가', '많아', '매입', '하지', '않는다하여', '그냥', '폐기', '요청', '드렸으며', '그', '폐기', '가', '도', '아깝지', '않았다', '독서', '모임', '만', '아니었다면', '펴', '보지', '도', '않았을', '책', '요약', '만', '봐도', '충분']",반 읽고 중고 로 팔 기 위해 알라딘 서점 에 가져갔으나 재고 가 많아 매입 하지 않는다하여 그냥 폐기 요청 드렸으며 그 폐기 가 도 아깝지 않았다 독서 모임 만 아니었다면 펴 보지 도 않았을 책 요약 만 봐도 충분
9008,나무의 시간,"저자의 나무에 대한 지식에 경의를 표하지만엘리트주의적 향이 짙고 독서와 여행 경험을 나무와 연결하면서 나무 인문학이라 칭하고 있는데 그 연결점들이 글쎄, 조금은 얕다.그저 나무 이야기만 했으면 어땠을까.",2,0,저자의 나무에 대한 지식에 경의를 표하지만엘리트주의적 향이 짙고 독서와 여행 경험을 나무와 연결하면서 나무 인문학이라 칭하고 있는데 그 연결점들이 글쎄  조금은 얕다 그저 나무 이야기만 했으면 어땠을까 ,"['저자', '의', '나무', '에', '대한', '지식', '에', '경의', '를', '표', '하', '지만', '엘리트', '주의', '적', '향', '이', '짙고', '독서', '와', '여행', '경험', '을', '나무', '와', '연결하면서', '나무', '인문학', '이라', '칭', '하고', '있는데', '그', '연', '결점', '들', '이', '글쎄', '조금', '은', '얕다', '그저', '나무', '이야기', '만', '했으면', '어땠을까']",저자 의 나무 에 대한 지식 에 경의 를 표 하 지만 엘리트 주의 적 향 이 짙고 독서 와 여행 경험 을 나무 와 연결하면서 나무 인문학 이라 칭 하고 있는데 그 연 결점 들 이 글쎄 조금 은 얕다 그저 나무 이야기 만 했으면 어땠을까
9009,조국의 법고전 산책,책을 다읽고나서 민주주위를 외치지만권력으로 자녀에게 도움을 주는건 어느누구든 그러는걸까?라는 생각이 들었습니다.,1,0,책을 다읽고나서 민주주위를 외치지만권력으로 자녀에게 도움을 주는건 어느누구든 그러는걸까 라는 생각이 들었습니다 ,"['책', '을', '다', '읽고나서', '민주', '주위', '를', '외치', '지만', '권력', '으로', '자녀', '에게', '도움', '을', '주는건', '어느', '누구', '든', '그러는걸', '까', '라는', '생각', '이', '들었습니다']",책 을 다 읽고나서 민주 주위 를 외치 지만 권력 으로 자녀 에게 도움 을 주는건 어느 누구 든 그러는걸 까 라는 생각 이 들었습니다
